timestamp,address,amount,release
11.01.2024,"0xbcc14cf1395e00f4693edfe57e2aeb23258c42af",8720.0,06.12.2024
13.12.2023,"0x94cb55d2aac6402a7e18d6f7c4577751834113bc",9020.0,08.12.2024
11.01.2024,"0xa7f9d704c4f4be658c778d5f16e356e4dc6e541c",5380.0,06.01.2025
06.11.2023,"0x29da57c7d3795168c26a37310c27aae13a60a3f7",8602.0,02.11.2024
08.11.2023,"0x5d9293e7eb26133df2512b812282178e76989748",3616.0,03.04.2024
01.12.2023,"0x8c497b517ce44d1cd7e86cf18840ac52eaff3bda",3500.0,23.11.2024
05.01.2024,"0x94cb55d2aac6402a7e18d6f7c4577751834113bc",26812.0,04.01.2025
03.12.2023,"0xb3dd077939980c675014f2cf3685f42db31127f4",3444.0,13.11.2024
01.12.2023,"0x20c812acdfeb692aede3131890033dd8de8c188b",8628.0,23.11.2023
02.11.2023,"0xa2959d0346109026edd5e9063aca340c42596d9a",4452.0,30.10.2024
28.11.2023,"0x290bbce74b930aebe8423c9677c81b77963acb1f",4496.0,23.11.2024
27.02.2023,"0x99098c56acab7b814aade17658987380ced51b19",1000.0,27.02.2023
01.12.2023,"0xcb6b9ae086573911ffec6e9d90cb24c6fe435eb5",9080.0,30.11.2024
14.03.2023,"0x290bbce74b930aebe8423c9677c81b77963acb1f",4515.0,08.03.2024
21.11.2023,"0xc1bb37d3d907fb01741a453434647c3e32d43a92",8956.0,20.11.2024
11.04.2023,"0xcb6b9ae086573911ffec6e9d90cb24c6fe435eb5",9260.0,04.04.2024
11.04.2023,"0x66f9bddf62acde30b01041fad528f378d14363c8",10.0,12.04.2023
20.04.2023,"0xc1bb37d3d907fb01741a453434647c3e32d43a92",18360.0,17.04.2024
07.06.2023,"0x53cca14930153a9eeba95cf0607ed289cf398b86",4486.0,30.05.2024
28.06.2023,"0x290bbce74b930aebe8423c9677c81b77963acb1f",4780.0,28.06.2024
09.06.2023,"0xe68f47177ed0301a3b1248413a125c80441c5a27",9600.0,06.06.2024
12.06.2023,"0xade4cb4a9afabf883c27bb8e8d122240b18770ce",3868.0,11.05.2024
11.04.2023,"0x66f9bddf62acde30b01041fad528f378d14363c8",20.0,13.04.2023
26.07.2023,"0x41a9425cb128802306b5af4aad431430e31e3f9c",4672.0,10.07.2023
26.07.2023,"0x0a6b1afa7c00f1c6cdc968da864369690cb18c96",9276.0,29.06.2023
07.09.2023,"0xca9423bb84640fa5cad39d6efeae677ed7a3e1a7",3620.0,04.09.2024
11.09.2023,"0xcb6b9ae086573911ffec6e9d90cb24c6fe435eb5",9044.0,10.09.2024
29.09.2023,"0xd5102ab9de71964b25e191bc37f7ea74754f3523",8792.0,24.09.2024
03.10.2023,"0xbb4d3323e7c391a15de0bfd926d71b4397e3533a",5380.0,10.09.2024
06.10.2023,"0xc1bb37d3d907fb01741a453434647c3e32d43a92",8792.0,05.10.2024
25.04.2023,"0xd715cf12c18620e9efb3871f3c87725d94158aee",73459.0,14.04.2024
11.10.2023,"0xd2474665883f5ca71a0664da184164961ad12db7",8960.0,27.09.2024
25.10.2023,"0x290bbce74b930aebe8423c9677c81b77963acb1f",8652.0,24.10.2024
12.01.2024,"0xa7f9d704c4f4be658c778d5f16e356e4dc6e541c",13912.0,11.01.2025
25.10.2023,"0xc1bb37d3d907fb01741a453434647c3e32d43a92",8572.0,24.10.2024
02.11.2023,"0xccf7f1fec2b3167cd739d7820a06f4cb8ada3f7d",12828.0,30.10.2024
02.11.2023,"0x16ba0bff5ed10b269cf6c56513885151635bd24b",4304.0,30.10.2024
25.10.2023,"0x75769715be5213247cce350a23203421ab8e3ab9",8772.0,01.10.2024
26.07.2023,"0x6f1d399ec83eda0e0379c9d777a380a7deec1440",18568.0,13.07.2023
11.09.2023,"0x29da57c7d3795168c26a37310c27aae13a60a3f7",9468.0,30.07.2024
24.11.2023,"0xa2959d0346109026edd5e9063aca340c42596d9a",7428.0,23.11.2024
25.10.2023,"0x6f1d399ec83eda0e0379c9d777a380a7deec1440",4316.0,24.10.2024
